subscription_id,customer_id,msisdn,plan_id,activation_date,expiry_date,status,renewal_type
3077,1077,9094890871,2018,2026-06-21,2026-08-16,Active,Manual
3078,1078,9114217757,2024,2026-05-03,2026-05-10,Expired,Auto
3079,1079,9235523264,2006,2025-10-13,2025-11-12,Expired,Manual
3080,1080,9456227804,2024,2026-05-03,2026-05-10,Expired,Auto
3081,1081,9845404873,2002,2026-05-05,2026-05-12,Expired,Manual
3082,1082,9493893665,2023,2025-08-25,2025-10-20,Expired,Auto
3083,1083,9232971847,2008,2026-06-17,2027-06-17,Active,Auto
3084,1084,9295578289,2001,2026-02-20,2026-02-21,Expired,Manual
3085,1085,9137483789,2017,2026-06-05,2027-06-05,Active,Auto
3086,1086,9008562293,2016,2026-06-05,2026-09-03,Active,Auto
3087,1087,9325409489,2002,2025-12-23,2025-12-30,Expired,Auto
3088,1088,9662896417,2023,2025-09-30,2025-11-25,Expired,Auto
3089,1089,9012406996,2009,2026-01-15,2026-01-22,Expired,Manual
3090,1090,9115823345,2023,2026-07-10,2026-09-04,Active,Auto
3091,1091,9399892965,2022,2025-11-11,2025-12-11,Expired,Auto
3092,1092,9558653776,2004,2026-03-10,2026-05-05,Expired,Auto
3093,1093,9439466067,2006,2026-01-23,2026-02-22,Expired,Auto
3094,1094,9454030533,2013,2026-05-24,2026-08-22,Active,Manual
3095,1095,9402265113,2023,2025-08-12,2025-10-07,Expired,Manual
3096,1096,9376973273,2011,2025-08-18,2026-02-14,Expired,Auto
3097,1097,9321434555,2010,2026-01-22,2026-07-21,Expired,Manual
3098,1098,9710275623,2016,2026-04-07,2026-07-06,Expired,Auto
3099,1099,9753074007,2005,2025-10-07,2025-10-08,Expired,Auto
3100,1100,9164061537,2015,2025-12-03,2025-12-04,Expired,Manual
3101,1101,9341689563,2009,2026-07-27,2026-08-03,Expired,Manual
3102,1102,9121868941,2007,2026-02-22,2026-03-01,Expired,Manual
3103,1103,9147751178,2008,2026-03-03,2027-03-03,Active,Auto
3104,1104,9827686467,2002,2026-01-29,2026-02-05,Expired,Auto
3105,1105,9740267113,2019,2025-09-04,2026-03-03,Expired,Auto
3106,1106,9077746305,2022,2025-09-28,2025-10-28,Expired,Auto
3107,1107,9418409261,2015,2025-09-28,2025-09-29,Expired,Manual
3108,1108,9041260689,2009,2026-07-12,2026-07-19,Expired,Auto
3109,1109,9064761468,2010,2026-06-24,2026-12-21,Active,Auto
3110,1110,9863557208,2001,2026-01-31,2026-02-01,Expired,Auto
3111,1111,9490502993,2002,2026-01-25,2026-02-01,Expired,Auto
3112,1112,9686067800,2002,2026-04-13,2026-04-20,Expired,Auto
3113,1113,9237871834,2005,2025-12-02,2025-12-03,Expired,Manual
3114,1114,9508243198,2004,2026-05-06,2026-07-01,Expired,Auto
3115,1115,9042835025,2022,2025-12-28,2026-01-27,Expired,Auto
3116,1116,9906871524,2024,2026-04-22,2026-04-29,Expired,Auto
3117,1117,9492238773,2010,2026-01-18,2026-07-17,Expired,Auto
3118,1118,9168608302,2006,2025-11-18,2025-12-18,Expired,Auto
3119,1119,9721469059,2010,2026-04-13,2026-10-10,Active,Auto
3120,1120,9061212806,2017,2026-07-17,2027-07-17,Active,Auto
3121,1121,9354953132,2004,2025-08-09,2025-10-04,Expired,Auto
3122,1122,9593991237,2025,2025-08-18,2025-08-19,Expired,Auto
3123,1123,9092179830,2015,2025-09-23,2025-09-24,Expired,Auto
3124,1124,9619697251,2010,2026-06-01,2026-11-28,Active,Auto
3125,1125,9430336986,2016,2026-04-07,2026-07-06,Expired,Manual
3126,1126,9351486610,2025,2025-12-26,2025-12-27,Expired,Auto
3127,1127,9746640394,2013,2026-06-19,2026-09-17,Active,Auto
3128,1128,9402694174,2016,2026-06-21,2026-09-19,Active,Manual
3129,1129,9068472035,2002,2025-08-28,2025-09-04,Expired,Auto
3130,1130,9491210062,2012,2026-01-26,2026-02-23,Expired,Auto
3131,1131,9711559117,2003,2025-10-29,2026-01-27,Expired,Manual
3132,1132,9327980832,2025,2025-08-09,2025-08-10,Expired,Auto
3133,1133,9885135188,2025,2026-01-08,2026-01-09,Expired,Auto
3134,1134,9624494538,2025,2026-05-13,2026-05-14,Expired,Manual
3135,1135,9964118269,2002,2026-01-30,2026-02-06,Expired,Auto
3136,1136,9855264323,2019,2026-06-18,2026-12-15,Active,Auto
3137,1137,9307517257,2009,2026-05-20,2026-05-27,Expired,Auto
3138,1138,9622848354,2018,2026-03-15,2026-05-10,Expired,Auto
3139,1139,9459437746,2019,2025-08-28,2026-02-24,Expired,Manual
3140,1140,9013038166,2018,2025-10-25,2025-12-20,Expired,Auto
3141,1141,9619471980,2003,2026-05-03,2026-08-01,Expired,Auto
3142,1142,9064354166,2018,2026-05-05,2026-06-30,Expired,Manual
3143,1143,9893415964,2004,2025-10-03,2025-11-28,Expired,Auto
3144,1144,9240102837,2016,2026-03-06,2026-06-04,Expired,Auto
3145,1145,9923876716,2006,2026-05-20,2026-06-19,Expired,Auto
3146,1146,9840608577,2016,2026-07-10,2026-10-08,Active,Auto
3147,1147,9441733255,2003,2025-10-22,2026-01-20,Expired,Auto
3148,1148,9587968564,2022,2026-08-07,2026-09-06,Active,Auto
3149,1149,9570117716,2011,2026-07-21,2027-01-17,Active,Auto
3150,1150,9545979618,2008,2025-09-19,2026-09-19,Active,Auto
3151,1151,9858537522,2024,2026-01-12,2026-01-19,Expired,Auto
3152,1152,9858401300,2007,2026-02-26,2026-03-05,Expired,Auto
3153,1153,9752772693,2019,2026-02-19,2026-08-18,Active,Auto
3154,1154,9717149097,2023,2026-01-25,2026-03-22,Expired,Auto
3155,1155,9453732105,2019,2026-03-08,2026-09-04,Active,Auto
3156,1156,9496696399,2010,2025-11-18,2026-05-17,Expired,Manual
3157,1157,9950067841,2006,2025-09-05,2025-10-05,Expired,Manual
3158,1158,9236406566,2023,2026-08-04,2026-09-29,Active,Auto
3159,1159,9277826289,2017,2025-12-29,2026-12-29,Active,Manual
3160,1160,9729811621,2025,2026-05-09,2026-05-10,Expired,Auto
3161,1161,9201436615,2015,2025-11-30,2025-12-01,Expired,Manual
3162,1162,9416028817,2007,2026-06-06,2026-06-13,Expired,Auto
3163,1163,9772453568,2014,2025-08-26,2025-10-21,Expired,Manual
3164,1164,9029344093,2013,2026-08-04,2026-11-02,Active,Auto
3165,1165,9378084252,2020,2026-06-05,2027-06-05,Active,Auto
3166,1166,9516050219,2024,2026-01-14,2026-01-21,Expired,Auto
3167,1167,9627345231,2023,2025-09-28,2025-11-23,Expired,Auto
3168,1168,9096448649,2003,2025-08-23,2025-11-21,Expired,Auto
3169,1169,9177510663,2018,2025-08-30,2025-10-25,Expired,Manual
3170,1170,9495731812,2001,2026-05-13,2026-05-14,Expired,Manual
3171,1171,9003965759,2013,2026-02-04,2026-05-05,Expired,Manual
3172,1172,9019733557,2017,2026-04-29,2027-04-29,Active,Manual
3173,1173,9102989885,2021,2025-08-18,2025-11-10,Expired,Auto
3174,1174,9395082068,2023,2026-05-24,2026-07-19,Expired,Auto
3175,1175,9611966675,2012,2026-05-13,2026-06-10,Expired,Auto
3176,1176,9536196460,2015,2025-09-18,2025-09-19,Expired,Auto
3177,1177,9459687858,2010,2025-12-27,2026-06-25,Expired,Auto
3178,1178,9122807235,2014,2025-09-01,2025-10-27,Expired,Auto
3179,1179,9261183658,2023,2026-07-21,2026-09-15,Active,Auto
3180,1180,9107697011,2012,2025-12-03,2025-12-31,Expired,Auto
3181,1181,9103984895,2003,2026-02-03,2026-05-04,Expired,Auto
3182,1182,9308834099,2011,2026-07-05,2027-01-01,Active,Auto
3183,1183,9657662652,2015,2026-01-28,2026-01-29,Expired,Auto
3184,1184,9140002474,2009,2026-04-20,2026-04-27,Expired,Auto
3185,1185,9727470475,2018,2026-04-28,2026-06-23,Expired,Manual
3186,1186,9163121700,2005,2025-11-18,2025-11-19,Expired,Auto
3187,1187,9977841631,2009,2025-10-16,2025-10-23,Expired,Auto
3188,1188,9485475786,2023,2026-05-28,2026-07-23,Expired,Auto
3189,1189,9081824058,2020,2026-07-26,2027-07-26,Active,Manual
3190,1190,9594378200,2020,2026-01-09,2027-01-09,Active,Auto
3191,1191,9741755655,2020,2026-03-18,2027-03-18,Active,Auto
3192,1192,9900201809,2011,2026-05-27,2026-11-23,Active,Auto
3193,1193,9039777186,2017,2025-11-17,2026-11-17,Active,Manual
3194,1194,9826607330,2008,2025-12-30,2026-12-30,Active,Manual
3195,1195,9503057115,2001,2026-03-05,2026-03-06,Expired,Auto
3196,1196,9671388649,2007,2026-04-11,2026-04-18,Expired,Manual
3197,1197,9725756966,2006,2026-07-02,2026-08-01,Expired,Manual
3198,1198,9680862390,2010,2026-06-29,2026-12-26,Active,Auto
3199,1199,9339920239,2009,2026-05-24,2026-05-31,Expired,Auto
3200,1200,9935215883,2024,2026-04-18,2026-04-25,Expired,Auto
3201,1201,9844498927,2002,2025-11-12,2025-11-19,Expired,Auto
3202,1202,9134124999,2021,2025-10-17,2026-01-09,Expired,Auto
3203,1203,9367558754,2015,2026-02-15,2026-02-16,Expired,Manual
3204,1204,9605184717,2013,2026-01-26,2026-04-26,Expired,Auto
3205,1205,9114353759,2011,2026-01-09,2026-07-08,Expired,Auto
3206,1206,9890704486,2004,2026-03-30,2026-05-25,Expired,Auto
3207,1207,9608682904,2016,2026-07-03,2026-10-01,Active,Auto
3208,1208,9804183422,2005,2026-07-30,2026-07-31,Expired,Auto
3209,1209,9641679006,2006,2026-06-14,2026-07-14,Expired,Auto
3210,1210,9063760133,2006,2025-11-13,2025-12-13,Expired,Auto
3211,1211,9526783920,2007,2026-01-27,2026-02-03,Expired,Manual
3212,1212,9249231779,2015,2026-07-02,2026-07-03,Expired,Manual
3213,1213,9747509650,2010,2026-02-19,2026-08-18,Active,Manual
3214,1214,9119515529,2022,2026-05-21,2026-06-20,Expired,Auto
3215,1215,9558663876,2007,2025-08-23,2025-08-30,Expired,Auto
3216,1216,9667840434,2024,2025-08-10,2025-08-17,Expired,Manual
3217,1217,9214026495,2002,2025-08-14,2025-08-21,Expired,Auto
3218,1218,9873460889,2020,2025-09-10,2026-09-10,Active,Auto
3219,1219,9956588099,2002,2025-09-01,2025-09-08,Expired,Auto
3220,1220,9211583428,2022,2025-11-11,2025-12-11,Expired,Auto
3221,1221,9155431658,2002,2025-11-03,2025-11-10,Expired,Auto
3222,1222,9740804790,2007,2025-12-05,2025-12-12,Expired,Auto
3223,1223,9537265562,2013,2026-05-24,2026-08-22,Active,Auto
3224,1224,9148274783,2013,2025-11-13,2026-02-11,Expired,Auto
3225,1225,9044499263,2017,2026-06-30,2027-06-30,Active,Manual
3226,1226,9228254626,2017,2026-07-26,2027-07-26,Active,Auto
3227,1227,9206058251,2018,2025-09-10,2025-11-05,Expired,Auto
3228,1228,9766727203,2022,2025-09-06,2025-10-06,Expired,Manual
3229,1229,9105248169,2022,2026-04-01,2026-05-01,Expired,Auto
3230,1230,9933096383,2018,2025-12-19,2026-02-13,Expired,Auto
3231,1231,9009237649,2006,2026-06-16,2026-07-16,Expired,Auto
3232,1232,9074096260,2006,2026-04-29,2026-05-29,Expired,Auto
3233,1233,9963951877,2002,2025-11-16,2025-11-23,Expired,Manual
3234,1234,9040106848,2024,2025-09-16,2025-09-23,Expired,Auto
3235,1235,9302150375,2001,2026-06-04,2026-06-05,Expired,Auto
3236,1236,9387079174,2011,2026-04-10,2026-10-07,Active,Auto
3237,1237,9042613413,2004,2026-07-16,2026-09-10,Active,Auto
3238,1238,9661980849,2020,2025-09-16,2026-09-16,Active,Auto
3239,1239,9470547842,2018,2025-12-23,2026-02-17,Expired,Auto
3240,1240,9784734680,2023,2026-02-06,2026-04-03,Expired,Manual
3241,1241,9303403675,2008,2026-02-28,2027-02-28,Active,Auto
3242,1242,9451765267,2002,2025-10-03,2025-10-10,Expired,Manual
3243,1243,9904694470,2006,2026-03-22,2026-04-21,Expired,Auto
3244,1244,9712497034,2001,2026-07-21,2026-07-22,Expired,Auto
3245,1245,9503335139,2003,2026-07-03,2026-10-01,Active,Manual
3246,1246,9946791534,2021,2025-08-12,2025-11-04,Expired,Auto
3247,1247,9465063743,2013,2026-03-17,2026-06-15,Expired,Auto
3248,1248,9481502489,2021,2026-07-09,2026-10-01,Active,Manual
3249,1249,9835472713,2005,2025-09-11,2025-09-12,Expired,Auto
3250,1250,9586461558,2016,2025-12-29,2026-03-29,Expired,Auto
3251,1251,9075886366,2025,2026-06-13,2026-06-14,Expired,Manual
3252,1252,9698778491,2011,2026-05-23,2026-11-19,Active,Auto
3253,1253,9121106707,2015,2025-10-18,2025-10-19,Expired,Auto
3254,1254,9130899315,2008,2026-02-26,2027-02-26,Active,Auto
3255,1255,9984616189,2006,2025-09-23,2025-10-23,Expired,Auto
3256,1256,9263945281,2024,2026-04-03,2026-04-10,Expired,Auto
3257,1257,9199093591,2018,2025-09-20,2025-11-15,Expired,Manual
3258,1258,9461000693,2007,2026-07-21,2026-07-28,Expired,Auto
3259,1259,9049333405,2016,2026-02-23,2026-05-24,Expired,Auto
3260,1260,9025367205,2018,2026-03-14,2026-05-09,Expired,Auto
3261,1261,9590330348,2015,2026-03-19,2026-03-20,Expired,Auto
3262,1262,9612926908,2009,2026-01-06,2026-01-13,Expired,Auto
3263,1263,9763845246,2011,2026-04-26,2026-10-23,Active,Auto
3264,1264,9242778489,2011,2026-07-31,2027-01-27,Active,Manual
3265,1265,9460112861,2006,2026-02-27,2026-03-29,Expired,Auto
3266,1266,9117958992,2014,2025-10-09,2025-12-04,Expired,Auto
3267,1267,9543934698,2025,2025-10-12,2025-10-13,Expired,Auto
3268,1268,9796524099,2006,2025-09-12,2025-10-12,Expired,Manual
3269,1269,9878886536,2011,2026-04-03,2026-09-30,Active,Auto
3270,1270,9987867347,2017,2026-07-22,2027-07-22,Active,Auto
3271,1271,9042806619,2023,2026-02-03,2026-03-31,Expired,Manual
3272,1272,9422871170,2014,2025-11-17,2026-01-12,Expired,Auto
3273,1273,9720032999,2009,2026-05-10,2026-05-17,Expired,Auto
3274,1274,9135110188,2024,2026-03-19,2026-03-26,Expired,Auto
3275,1275,9101414184,2018,2026-01-19,2026-03-16,Expired,Manual
3276,1276,9290719240,2022,2026-03-16,2026-04-15,Expired,Manual
3277,1277,9649997188,2003,2025-11-01,2026-01-30,Expired,Auto
3278,1278,9614483616,2010,2026-06-02,2026-11-29,Active,Auto
3279,1279,9261465249,2024,2026-08-07,2026-08-14,Active,Auto
3280,1280,9220516113,2016,2026-06-30,2026-09-28,Active,Auto
3281,1281,9501146896,2001,2026-02-05,2026-02-06,Expired,Auto
3282,1282,9646713440,2009,2025-08-22,2025-08-29,Expired,Manual
3283,1283,9444579035,2016,2026-07-06,2026-10-04,Active,Auto
3284,1284,9021322936,2015,2025-09-22,2025-09-23,Expired,Auto
3285,1285,9411479425,2007,2026-03-21,2026-03-28,Expired,Auto
3286,1286,9308216567,2014,2025-09-16,2025-11-11,Expired,Auto
3287,1287,9748138129,2023,2025-09-27,2025-11-22,Expired,Auto
3288,1288,9989569477,2023,2026-05-11,2026-07-06,Expired,Auto
3289,1289,9789487873,2016,2025-08-30,2025-11-28,Expired,Auto
3290,1290,9303771920,2012,2026-01-28,2026-02-25,Expired,Auto
3291,1291,9363061274,2004,2026-07-27,2026-09-21,Active,Auto
3292,1292,9741440412,2016,2026-02-28,2026-05-29,Expired,Manual
3293,1293,9171781247,2012,2025-08-17,2025-09-14,Expired,Manual
3294,1294,9749321705,2019,2025-12-02,2026-05-31,Expired,Auto
3295,1295,9066393064,2011,2026-06-03,2026-11-30,Active,Auto
3296,1296,9506592288,2022,2025-10-10,2025-11-09,Expired,Manual
3297,1297,9521719609,2010,2026-05-24,2026-11-20,Active,Auto
3298,1298,9310444428,2018,2025-10-27,2025-12-22,Expired,Manual
3299,1299,9494048290,2018,2025-11-03,2025-12-29,Expired,Auto
3300,1300,9798258896,2025,2025-12-09,2025-12-10,Expired,Manual
3301,1301,9877576008,2010,2025-11-17,2026-05-16,Expired,Manual
3302,1302,9671868299,2018,2026-07-18,2026-09-12,Active,Auto
3303,1303,9010252571,2008,2026-01-30,2027-01-30,Active,Auto
3304,1304,9507095333,2024,2026-04-16,2026-04-23,Expired,Manual
3305,1305,9856321230,2015,2026-04-01,2026-04-02,Expired,Manual
3306,1306,9943606523,2009,2026-02-26,2026-03-05,Expired,Auto
3307,1307,9107589153,2023,2025-11-04,2025-12-30,Expired,Manual
3308,1308,9295612850,2015,2026-07-11,2026-07-12,Expired,Auto
3309,1309,9470202262,2018,2025-10-23,2025-12-18,Expired,Auto
3310,1310,9700118735,2005,2026-01-05,2026-01-06,Expired,Auto
3311,1311,9999880197,2006,2025-10-16,2025-11-15,Expired,Auto
3312,1312,9788982046,2013,2025-11-29,2026-02-27,Expired,Auto
3313,1313,9628422431,2017,2025-09-28,2026-09-28,Active,Auto
3314,1314,9312630856,2017,2026-01-15,2027-01-15,Active,Auto
3315,1315,9977902874,2023,2026-06-11,2026-08-06,Expired,Auto
3316,1316,9731762453,2004,2026-04-17,2026-06-12,Expired,Auto
3317,1317,9919366689,2011,2026-04-30,2026-10-27,Active,Auto
3318,1318,9109226005,2024,2026-04-18,2026-04-25,Expired,Auto
3319,1319,9532742948,2021,2026-03-22,2026-06-14,Expired,Manual
3320,1320,9128749153,2009,2025-10-12,2025-10-19,Expired,Auto
3321,1321,9734254067,2015,2026-07-03,2026-07-04,Expired,Manual
3322,1322,9421861171,2002,2026-06-01,2026-06-08,Expired,Auto
3323,1323,9300779320,2025,2026-07-17,2026-07-18,Expired,Auto
3324,1324,9259123143,2021,2026-07-06,2026-09-28,Active,Manual
3325,1325,9952036397,2016,2026-01-15,2026-04-15,Expired,Auto
3326,1326,9268377603,2005,2025-09-24,2025-09-25,Expired,Auto
3327,1327,9083259626,2024,2026-04-26,2026-05-03,Expired,Manual
3328,1328,9892073721,2006,2026-06-11,2026-07-11,Expired,Auto
3329,1329,9703879517,2018,2026-03-05,2026-04-30,Expired,Auto
3330,1330,9993465409,2007,2026-03-11,2026-03-18,Expired,Auto
3331,1331,9370616912,2008,2026-05-12,2027-05-12,Active,Auto
3332,1332,9633487067,2008,2025-09-29,2026-09-29,Active,Auto
3333,1333,9371194810,2020,2025-09-20,2026-09-20,Active,Auto
3334,1334,9702967027,2015,2026-02-02,2026-02-03,Expired,Auto
3335,1335,9808489015,2025,2026-03-10,2026-03-11,Expired,Auto
3336,1336,9460499989,2006,2025-09-14,2025-10-14,Expired,Auto
3337,1337,9219619093,2009,2026-02-14,2026-02-21,Expired,Auto
3338,1338,9766377365,2016,2025-11-18,2026-02-16,Expired,Auto
3339,1339,9005893367,2020,2026-04-30,2027-04-30,Active,Manual
3340,1340,9880356285,2018,2025-12-05,2026-01-30,Expired,Auto
3341,1341,9872891034,2002,2026-01-11,2026-01-18,Expired,Auto
3342,1342,9411621277,2015,2026-06-29,2026-06-30,Expired,Auto
3343,1343,9096596402,2012,2025-09-23,2025-10-21,Expired,Auto
3344,1344,9259460539,2013,2026-04-17,2026-07-16,Expired,Manual
3345,1345,9085867261,2001,2026-03-16,2026-03-17,Expired,Auto
3346,1346,9291962099,2020,2026-02-16,2027-02-16,Active,Auto
3347,1347,9215527452,2016,2025-10-09,2026-01-07,Expired,Manual
3348,1348,9194060115,2019,2025-09-21,2026-03-20,Expired,Auto
3349,1349,9585803522,2019,2026-07-05,2027-01-01,Active,Manual
3350,1350,9797267197,2017,2026-02-09,2027-02-09,Active,Auto
3351,1351,9754894574,2025,2026-05-05,2026-05-06,Expired,Auto
3352,1352,9856696852,2006,2026-05-12,2026-06-11,Expired,Auto
3353,1353,9275239680,2012,2026-07-17,2026-08-14,Active,Auto
3354,1354,9158490724,2011,2026-02-05,2026-08-04,Expired,Manual
3355,1355,9037911462,2004,2026-05-28,2026-07-23,Expired,Auto
3356,1356,9263974247,2019,2026-06-05,2026-12-02,Active,Auto
3357,1357,9861142110,2024,2026-05-06,2026-05-13,Expired,Auto
3358,1358,9430007249,2001,2025-08-23,2025-08-24,Expired,Manual
3359,1359,9623817159,2004,2025-12-06,2026-01-31,Expired,Manual
3360,1360,9787853361,2010,2026-02-10,2026-08-09,Active,Auto
3361,1361,9689173742,2017,2025-11-11,2026-11-11,Active,Manual
3362,1362,9201892762,2020,2026-01-04,2027-01-04,Active,Auto
3363,1363,9882919597,2015,2025-08-16,2025-08-17,Expired,Manual
3364,1364,9414448159,2024,2026-06-20,2026-06-27,Expired,Auto
3365,1365,9700310891,2006,2025-12-24,2026-01-23,Expired,Auto
3366,1366,9342525005,2024,2026-02-06,2026-02-13,Expired,Manual
3367,1367,9292033900,2006,2025-09-30,2025-10-30,Expired,Auto
3368,1368,9977897114,2015,2026-01-23,2026-01-24,Expired,Auto
3369,1369,9661993554,2020,2025-08-09,2026-08-09,Active,Manual
3370,1370,9903888218,2004,2025-08-20,2025-10-15,Expired,Auto
3371,1371,9545111208,2001,2026-06-23,2026-06-24,Expired,Auto
3372,1372,9134947253,2025,2026-06-01,2026-06-02,Expired,Manual
3373,1373,9436818611,2022,2026-01-19,2026-02-18,Expired,Manual
3374,1374,9557039032,2003,2026-04-15,2026-07-14,Expired,Auto
3375,1375,9016069226,2023,2026-06-10,2026-08-05,Expired,Auto
3376,1376,9296959007,2008,2026-01-09,2027-01-09,Active,Auto
3377,1377,9286115084,2004,2026-06-16,2026-08-11,Active,Auto
3378,1378,9076511358,2023,2026-02-15,2026-04-12,Expired,Auto
3379,1379,9362714591,2006,2026-06-30,2026-07-30,Expired,Auto
3380,1380,9112084428,2002,2025-11-22,2025-11-29,Expired,Auto
3381,1381,9307506639,2017,2026-05-08,2027-05-08,Active,Manual
3382,1382,9507167622,2021,2026-08-04,2026-10-27,Active,Manual
3383,1383,9493943514,2021,2025-08-21,2025-11-13,Expired,Auto
3384,1384,9502424314,2010,2026-02-09,2026-08-08,Expired,Manual
3385,1385,9900785731,2024,2026-06-15,2026-06-22,Expired,Manual
3386,1386,9127115379,2008,2025-08-23,2026-08-23,Active,Auto
3387,1387,9796716218,2013,2026-01-23,2026-04-23,Expired,Auto
3388,1388,9804383400,2009,2026-04-05,2026-04-12,Expired,Auto
3389,1389,9465179100,2003,2025-11-02,2026-01-31,Expired,Auto
